Modelo,Features,Categoria,Temporada de validação,Primeira temporada de treino,Última temporada de treino,Jogos de treino,Jogos de validação,Logistic Brier,Logistic Brier - margem zero,Ganho sobre margem zero
Regressão linear,seed,Masculino,2025,1985.0,2024.0,2518,67,0.05780611929096034,0.11167693797932045,0.053870818688360106
Regressão linear,seed,Feminino,2025,1998.0,2024.0,1650,67,0.05054458994925362,0.14644312075535562,0.095898530806102
Regressão linear,seed,Combinado,2025,,,4168,134,0.05417535462010699,0.12906002936733804,0.07488467474723105
Regressão linear,seed_winrate,Masculino,2025,1985.0,2024.0,2518,67,0.056936232732778924,0.11167693797932045,0.054740705246541524
Regressão linear,seed_winrate,Feminino,2025,1998.0,2024.0,1650,67,0.05421731597108669,0.14644312075535562,0.09222580478426892
Regressão linear,seed_winrate,Combinado,2025,,,4168,134,0.05557677435193281,0.12906002936733804,0.07348325501540523
Random Forest,seed,Masculino,2025,1985.0,2024.0,2518,67,0.05489006194093634,0.11167693797932045,0.05678687603838411
Random Forest,seed,Feminino,2025,1998.0,2024.0,1650,67,0.052936433822202235,0.14644312075535562,0.0935066869331534
Random Forest,seed,Combinado,2025,,,4168,134,0.05391324788156928,0.12906002936733804,0.07514678148576875
Random Forest,seed_winrate,Masculino,2025,1985.0,2024.0,2518,67,0.07118111627037467,0.11167693797932045,0.04049582170894578
Random Forest,seed_winrate,Feminino,2025,1998.0,2024.0,1650,67,0.0727252827115313,0.14644312075535562,0.07371783804382433
Random Forest,seed_winrate,Combinado,2025,,,4168,134,0.071953199490953,0.12906002936733804,0.057106829876385046
XGBoost,seed,Masculino,2025,1985.0,2024.0,2518,67,0.054882244823722365,0.11167693797932045,0.05679469315559808
XGBoost,seed,Feminino,2025,1998.0,2024.0,1650,67,0.052962013907187425,0.14644312075535562,0.0934811068481682
XGBoost,seed,Combinado,2025,,,4168,134,0.053922129365454895,0.12906002936733804,0.07513790000188314
XGBoost,seed_winrate,Masculino,2025,1985.0,2024.0,2518,67,0.056359696727795734,0.11167693797932045,0.055317241251524714
XGBoost,seed_winrate,Feminino,2025,1998.0,2024.0,1650,67,0.05380098476704477,0.14644312075535562,0.09264213598831085
XGBoost,seed_winrate,Combinado,2025,,,4168,134,0.055080340747420256,0.12906002936733804,0.07397968861991779
