Season,DayNum,TeamA,TeamB,ScoreA,ScoreB,Target,SeedA,SeedB,TemDuasSeeds,SeedDif,WinRateA,WinRateB,WinRateDiff,Pred,Modelo,Features,Categoria
2025,134,1106,1384,70,68,2,16,16,True,0,0.5454545454545454,0.43333333333333335,0.11212121212121207,0.0,Regressão linear,seed,Masculino
2025,134,1314,1361,95,68,27,11,11,True,0,0.6285714285714286,0.6896551724137931,-0.06108374384236459,0.0,Regressão linear,seed,Masculino
2025,135,1110,1291,72,83,-11,16,16,True,0,0.625,0.6363636363636364,-0.011363636363636354,0.0,Regressão linear,seed,Masculino
2025,135,1400,1462,80,86,-6,11,11,True,0,0.5588235294117647,0.65625,-0.09742647058823528,0.0,Regressão linear,seed,Masculino
2025,136,1116,1242,79,72,7,10,7,True,3,0.6060606060606061,0.6363636363636364,-0.030303030303030276,-3.564095399103015,Regressão linear,seed,Masculino
2025,136,1106,1120,63,83,-20,16,1,True,15,0.5454545454545454,0.8484848484848485,-0.3030303030303031,-17.820476995515076,Regressão linear,seed,Masculino
2025,136,1140,1433,80,71,9,6,11,True,-5,0.7272727272727273,0.8181818181818182,-0.09090909090909094,5.940158998505025,Regressão linear,seed,Masculino
2025,136,1166,1257,89,75,14,9,8,True,1,0.7058823529411765,0.7941176470588235,-0.08823529411764697,-1.188031799701005,Regressão linear,seed,Masculino
2025,136,1179,1281,67,57,10,11,6,True,5,0.9032258064516129,0.6666666666666666,0.23655913978494625,-5.940158998505025,Regressão linear,seed,Masculino
2025,136,1208,1211,68,89,-21,9,8,True,1,0.625,0.7575757575757576,-0.13257575757575757,-1.188031799701005,Regressão linear,seed,Masculino
2025,136,1188,1222,40,78,-38,16,1,True,15,0.6333333333333333,0.8823529411764706,-0.24901960784313726,-17.820476995515076,Regressão linear,seed,Masculino
2025,136,1155,1270,67,69,-2,5,12,True,-7,0.8181818181818182,0.8064516129032258,0.011730205278592476,8.316222597907036,Regressão linear,seed,Masculino
2025,136,1276,1471,68,65,3,5,12,True,-7,0.7352941176470589,0.875,-0.13970588235294112,8.316222597907036,Regressão linear,seed,Masculino
2025,136,1219,1345,63,75,-12,13,4,True,9,0.84375,0.6666666666666666,0.17708333333333337,-10.692286197309045,Regressão linear,seed,Masculino
2025,136,1303,1385,53,83,-30,15,2,True,13,0.625,0.8823529411764706,-0.25735294117647056,-15.444413396113065,Regressão linear,seed,Masculino
2025,136,1397,1459,77,62,15,2,15,True,-13,0.7941176470588235,0.53125,0.2628676470588235,15.444413396113065,Regressão linear,seed,Masculino
2025,136,1401,1463,80,71,9,4,13,True,-9,0.6875,0.75,-0.0625,10.692286197309045,Regressão linear,seed,Masculino
2025,136,1403,1423,82,72,10,3,14,True,-11,0.7575757575757576,0.78125,-0.02367424242424243,13.068349796711056,Regressão linear,seed,Masculino
2025,136,1417,1429,72,47,25,7,10,True,-3,0.6875,0.78125,-0.09375,3.564095399103015,Regressão linear,seed,Masculino
2025,136,1285,1458,66,85,-19,14,3,True,11,0.7096774193548387,0.7428571428571429,-0.03317972350230414,-13.068349796711056,Regressão linear,seed,Masculino
2025,137,1104,1352,90,81,9,2,15,True,-13,0.7575757575757576,0.7575757575757576,0.0,15.444413396113065,Regressão linear,seed,Masculino
2025,137,1103,1112,65,93,-28,13,4,True,9,0.8125,0.6470588235294118,0.1654411764705882,-10.692286197309045,Regressão linear,seed,Masculino
2025,137,1124,1280,75,72,3,9,8,True,1,0.5625,0.6363636363636364,-0.07386363636363635,-1.188031799701005,Regressão linear,seed,Masculino
