Season,DayNum,TeamA,TeamB,ScoreA,ScoreB,Target,SeedA,SeedB,TemDuasSeeds,SeedDif,WinRateDiff,Pred,Categoria
2021,136,1179,1455,53,52,1,11,11,True,0,0.115009746588694,-0.1948249864205218,M
2021,136,1111,1313,53,54,-1,16,16,True,0,-0.125,-1.6594673795739772,M
2021,136,1291,1411,52,60,-8,16,16,True,0,-0.1067193675889328,-1.5880811228573877,M
2021,136,1277,1417,80,86,-6,11,11,True,0,-0.0982905982905982,-1.406815414208719,M
2021,137,1116,1159,85,68,17,3,14,True,-11,-0.1476190476190476,4.907701384060764,M
2021,137,1124,1216,79,55,24,1,16,True,-15,0.2644927536231883,22.156694438476578,M
2021,137,1196,1439,75,70,5,7,10,True,-3,-0.1055900621118012,0.9315843172853048,M
2021,137,1156,1222,56,87,-31,15,2,True,13,-0.1538461538461538,-14.073354394332348,M
2021,137,1180,1228,49,78,-29,16,1,True,15,-0.161524500907441,-15.543514207923003,M
2021,137,1210,1260,60,71,-11,9,8,True,1,-0.1661538461538461,-2.615432064120612,M
2021,137,1317,1345,78,69,9,13,4,True,9,-0.0266666666666666,-10.048914670467198,M
2021,137,1251,1329,60,69,-9,13,4,True,9,0.0773809523809523,-10.198687441011575,M
2021,137,1326,1331,72,75,-3,2,15,True,-13,0.1347826086956521,12.65291205092424,M
2021,137,1333,1397,70,56,14,12,5,True,7,-0.1208791208791209,-4.596409171159159,M
2021,137,1155,1353,56,60,-4,7,10,True,-3,0.1187290969899665,4.51491359631614,M
2021,137,1361,1393,62,78,-16,6,11,True,-5,0.2061538461538461,9.851009927806894,M
2021,137,1403,1429,65,53,12,6,11,True,-5,-0.074074074074074,3.7590819842718632,M
2021,137,1437,1457,73,63,10,5,12,True,-7,-0.231060606060606,2.8937722800233,M
2021,137,1287,1452,67,84,-17,14,3,True,11,0.0833333333333333,-10.9149444130357,M
2021,137,1314,1458,62,85,-23,8,9,True,-1,0.0566502463054188,0.7765527134486807,M
2021,138,1101,1400,53,52,1,14,3,True,11,0.0953177257525084,-10.50859270490193,M
2021,138,1104,1233,68,55,13,2,15,True,-13,0.0941176470588235,10.026477807971808,M
2021,138,1160,1207,96,73,23,5,12,True,-7,0.2133333333333332,10.078725533472284,M
2021,138,1166,1364,63,62,1,5,12,True,-7,-0.119047619047619,3.3000121223549765,M
2021,138,1199,1422,64,54,10,4,13,True,-9,0.0031347962382445,5.362734354939068,M
2021,138,1211,1313,98,55,43,1,16,True,-15,0.3333333333333333,24.90184711845238,M
2021,138,1213,1234,74,86,-12,15,2,True,13,-0.0241379310344828,-12.391948869088704,M
2021,138,1186,1242,84,93,-9,14,3,True,11,-0.0218855218855219,-10.571722137007344,M
2021,138,1261,1382,76,61,15,8,9,True,-1,-0.1333333333333334,-0.4960720880469196,M
2021,138,1163,1268,54,63,-9,7,10,True,-3,0.146103896103896,4.559929376879129,M
2021,138,1276,1411,82,66,16,1,16,True,-15,0.1811594202898551,21.88821212139118,M
2021,138,1325,1438,62,58,4,13,4,True,9,-0.0681818181818182,-10.236885042644762,M
2021,138,1281,1328,68,72,-4,9,8,True,1,0.04,-1.0652803057931353,M
2021,138,1140,1417,62,73,-11,6,11,True,-5,0.1061538461538461,5.539383495559395,M
2021,138,1179,1425,56,72,-16,11,6,True,5,0.0932311621966794,-3.1153291374311465,M
2021,139,1116,1403,68,66,2,3,6,True,-3,0.156084656084656,4.327067238280193,M
2021,139,1124,1458,76,63,13,1,9,True,-8,0.3304597701149425,12.863020087667469,M
2021,139,1222,1353,63,60,3,2,10,True,-8,0.3076923076923077,12.546704201273084,M
2021,139,1228,1260,58,71,-13,1,8,True,-7,-0.053050397877984,5.13057879628607,M
2021,139,1196,1331,78,81,-3,7,15,True,-8,0.0434782608695653,5.544596920282788,M
2021,139,1329,1333,70,80,-10,4,12,True,-8,0.1428571428571429,6.537253461090887,M
2021,139,1393,1452,75,72,3,11,3,True,8,-0.0266666666666666,-5.172637635443677,M
2021,139,1317,1437,61,84,-23,13,5,True,8,-0.0872727272727272,-5.545016789568933,M
2021,140,1104,1268,96,77,19,2,10,True,-8,0.2642857142857143,10.750604766799876,M
2021,140,1166,1325,72,58,14,5,13,True,-8,0.0324675324675325,5.413002697653075,M
2021,140,1160,1199,53,71,-18,5,4,True,1,0.0060606060606059,-1.2503384031820737,M
2021,140,1211,1328,87,71,16,1,8,True,-7,0.4,13.616993910736891,M
2021,140,1261,1276,78,86,-8,8,1,True,7,-0.1666666666666667,-4.882330619164978,M
2021,140,1234,1332,80,95,-15,2,7,True,-5,-0.0450928381962865,4.265392411322055,M
2021,140,1101,1417,47,67,-20,14,11,True,3,0.1722408026755852,-2.735710666114648,M
2021,140,1242,1425,51,85,-34,3,6,True,-3,-0.0549169859514686,2.4306373437090514,M
2021,145,1116,1331,72,70,2,3,15,True,-12,0.2204968944099379,15.06483072947437,M
2021,145,1124,1437,62,51,11,1,5,True,-4,0.1893939393939393,7.940302446158632,M
2021,145,1222,1393,62,46,16,2,11,True,-9,0.2446153846153845,10.957796977615205,M
2021,145,1260,1333,58,65,-7,8,12,True,-4,0.2747252747252747,10.052225756546326,M
2021,146,1166,1211,65,83,-18,5,1,True,4,-0.2857142857142857,-6.93638921852916,M
2021,146,1199,1276,58,76,-18,4,1,True,3,-0.106060606060606,-3.633946184270705,M
2021,146,1104,1417,78,88,-10,2,11,True,-9,0.1461538461538462,6.518491136156823,M
2021,146,1332,1425,68,82,-14,7,6,True,1,0.0106100795755968,-1.2503384031820737,M
2021,147,1116,1124,72,81,-9,3,1,True,2,-0.1309523809523809,-3.421357050188075,M
2021,147,1222,1333,67,61,6,2,12,True,-10,0.3131868131868132,13.129849386553898,M
2021,148,1211,1425,85,66,19,1,6,True,-5,0.2413793103448276,10.844474081338454,M
2021,148,1276,1417,49,51,-2,1,11,True,-10,0.1794871794871795,7.723266059068975,M
2021,152,1124,1222,78,59,19,1,2,True,-1,0.032051282051282,0.7660189850097051,M
