Season,DayNum,TeamA,TeamB,ScoreA,ScoreB,Target,SeedA,SeedB,TemDuasSeeds,SeedDif,WinRateDiff,Pred,Categoria
2021,136,1179,1455,53,52,1,11,11,True,0,0.115009746588694,-0.64062756,M
2021,136,1111,1313,53,54,-1,16,16,True,0,-0.125,-1.2790726,M
2021,136,1291,1411,52,60,-8,16,16,True,0,-0.1067193675889328,-1.150856,M
2021,136,1277,1417,80,86,-6,11,11,True,0,-0.0982905982905982,-1.1085666,M
2021,137,1116,1159,85,68,17,3,14,True,-11,-0.1476190476190476,9.393941,M
2021,137,1124,1216,79,55,24,1,16,True,-15,0.2644927536231883,21.816229,M
2021,137,1196,1439,75,70,5,7,10,True,-3,-0.1055900621118012,2.420327,M
2021,137,1156,1222,56,87,-31,15,2,True,13,-0.1538461538461538,-15.411547,M
2021,137,1180,1228,49,78,-29,16,1,True,15,-0.161524500907441,-16.185757,M
2021,137,1210,1260,60,71,-11,9,8,True,1,-0.1661538461538461,-1.594118,M
2021,137,1317,1345,78,69,9,13,4,True,9,-0.0266666666666666,-10.113983,M
2021,137,1251,1329,60,69,-9,13,4,True,9,0.0773809523809523,-10.113983,M
2021,137,1326,1331,72,75,-3,2,15,True,-13,0.1347826086956521,13.947091,M
2021,137,1333,1397,70,56,14,12,5,True,7,-0.1208791208791209,-4.6743493,M
2021,137,1155,1353,56,60,-4,7,10,True,-3,0.1187290969899665,2.9760725,M
2021,137,1361,1393,62,78,-16,6,11,True,-5,0.2061538461538461,8.07903,M
2021,137,1403,1429,65,53,12,6,11,True,-5,-0.074074074074074,4.525042,M
2021,137,1437,1457,73,63,10,5,12,True,-7,-0.231060606060606,5.256488,M
2021,137,1287,1452,67,84,-17,14,3,True,11,0.0833333333333333,-11.126479,M
2021,137,1314,1458,62,85,-23,8,9,True,-1,0.0566502463054188,0.3921606,M
2021,138,1101,1400,53,52,1,14,3,True,11,0.0953177257525084,-11.126479,M
2021,138,1104,1233,68,55,13,2,15,True,-13,0.0941176470588235,13.433636,M
2021,138,1160,1207,96,73,23,5,12,True,-7,0.2133333333333332,9.111573,M
2021,138,1166,1364,63,62,1,5,12,True,-7,-0.119047619047619,5.387086,M
2021,138,1199,1422,64,54,10,4,13,True,-9,0.0031347962382445,6.2346635,M
2021,138,1211,1313,98,55,43,1,16,True,-15,0.3333333333333333,21.816229,M
2021,138,1213,1234,74,86,-12,15,2,True,13,-0.0241379310344828,-15.241039,M
2021,138,1186,1242,84,93,-9,14,3,True,11,-0.0218855218855219,-11.126479,M
2021,138,1261,1382,76,61,15,8,9,True,-1,-0.1333333333333334,0.22165456,M
2021,138,1163,1268,54,63,-9,7,10,True,-3,0.146103896103896,2.9760725,M
2021,138,1276,1411,82,66,16,1,16,True,-15,0.1811594202898551,18.775692,M
2021,138,1325,1438,62,58,4,13,4,True,9,-0.0681818181818182,-10.113983,M
2021,138,1281,1328,68,72,-4,9,8,True,1,0.04,-1.423612,M
