Season,Categoria,Score,JogosTreino,JogosValidacao,UltimoAnoTreino
2021,M,0.10578047256294529,2251,66,2019
2021,W,0.07230160961832342,1386,63,2019
2021,Combinado,0.0894303301946416,3637,129,2019
2022,M,0.09517409310438281,2317,67,2021
2022,W,0.08048769199168852,1449,67,2021
2022,Combinado,0.08783089254803567,3766,134,2021
2023,M,0.08188346676677256,2384,67,2022
2023,W,0.07241395840927209,1516,67,2022
2023,Combinado,0.07714871258802232,3900,134,2022
2024,M,0.07892258274562096,2451,67,2023
2024,W,0.04301616381365503,1583,67,2023
2024,Combinado,0.060969373279638,4034,134,2023
2025,M,0.05695817694481184,2518,67,2024
2025,W,0.054157590690204836,1650,67,2024
2025,Combinado,0.05555788381750834,4168,134,2024
