Season,Categoria,Score,JogosTreino,JogosValidacao,UltimoAnoTreino,Modelo
2021,M,0.10578047256294529,2251,66,2019,Regressão linear
2021,W,0.07230160961832342,1386,63,2019,Regressão linear
2021,Combinado,0.0894303301946416,3637,129,2019,Regressão linear
2022,M,0.09517409310438281,2317,67,2021,Regressão linear
2022,W,0.08048769199168852,1449,67,2021,Regressão linear
2022,Combinado,0.08783089254803567,3766,134,2021,Regressão linear
2023,M,0.08188346676677256,2384,67,2022,Regressão linear
2023,W,0.07241395840927209,1516,67,2022,Regressão linear
2023,Combinado,0.07714871258802232,3900,134,2022,Regressão linear
2024,M,0.07892258274562096,2451,67,2023,Regressão linear
2024,W,0.04301616381365503,1583,67,2023,Regressão linear
2024,Combinado,0.060969373279638,4034,134,2023,Regressão linear
2025,M,0.05695817694481184,2518,67,2024,Regressão linear
2025,W,0.054157590690204836,1650,67,2024,Regressão linear
2025,Combinado,0.05555788381750834,4168,134,2024,Regressão linear
2021,M,0.09851101804716392,2251,66,2019,Random Forest
2021,W,0.07157413583852296,1386,63,2019,Random Forest
2021,Combinado,0.08535579650340903,3637,129,2019,Random Forest
2022,M,0.08778885962932091,2317,67,2021,Random Forest
2022,W,0.07417486910653211,1449,67,2021,Random Forest
2022,Combinado,0.08098186436792652,3766,134,2021,Random Forest
2023,M,0.08367201281423214,2384,67,2022,Random Forest
2023,W,0.06840428039729389,1516,67,2022,Random Forest
2023,Combinado,0.07603814660576301,3900,134,2022,Random Forest
2024,M,0.07405509066418356,2451,67,2023,Random Forest
2024,W,0.040766748010762494,1583,67,2023,Random Forest
2024,Combinado,0.057410919337473026,4034,134,2023,Random Forest
2025,M,0.056431765382592154,2518,67,2024,Random Forest
2025,W,0.05796978442009154,1650,67,2024,Random Forest
2025,Combinado,0.057200774901341844,4168,134,2024,Random Forest
2021,M,0.09463650861398347,2251,66,2019,XGBoost
2021,W,0.06836200833439429,1386,63,2019,XGBoost
2021,Combinado,0.08180477591930038,3637,129,2019,XGBoost
2022,M,0.08548410920919006,2317,67,2021,XGBoost
2022,W,0.07840541347264132,1449,67,2021,XGBoost
2022,Combinado,0.08194476134091569,3766,134,2021,XGBoost
2023,M,0.0806970243280092,2384,67,2022,XGBoost
2023,W,0.06855532959614319,1516,67,2022,XGBoost
2023,Combinado,0.07462617696207619,3900,134,2022,XGBoost
2024,M,0.07320714359188626,2451,67,2023,XGBoost
2024,W,0.03981275961358335,1583,67,2023,XGBoost
2024,Combinado,0.05650995160273481,4034,134,2023,XGBoost
2025,M,0.05509940539298867,2518,67,2024,XGBoost
2025,W,0.053337805130195697,1650,67,2024,XGBoost
2025,Combinado,0.05421860526159218,4168,134,2024,XGBoost
