Season,Categoria,Score,JogosTreino,JogosValidacao,UltimoAnoTreino
2021,M,0.09851101804716392,2251,66,2019
2021,W,0.07157413583852296,1386,63,2019
2021,Combinado,0.08535579650340903,3637,129,2019
2022,M,0.08778885962932091,2317,67,2021
2022,W,0.07417486910653211,1449,67,2021
2022,Combinado,0.08098186436792652,3766,134,2021
2023,M,0.08367201281423214,2384,67,2022
2023,W,0.06840428039729389,1516,67,2022
2023,Combinado,0.07603814660576301,3900,134,2022
2024,M,0.07405509066418356,2451,67,2023
2024,W,0.040766748010762494,1583,67,2023
2024,Combinado,0.057410919337473026,4034,134,2023
2025,M,0.056431765382592154,2518,67,2024
2025,W,0.05796978442009154,1650,67,2024
2025,Combinado,0.057200774901341844,4168,134,2024
