Season,Categoria,Score,JogosTreino,JogosValidacao,UltimoAnoTreino
2021,M,0.09463650861398347,2251,66,2019
2021,W,0.06836200833439429,1386,63,2019
2021,Combinado,0.08180477591930038,3637,129,2019
2022,M,0.08548410920919006,2317,67,2021
2022,W,0.07840541347264132,1449,67,2021
2022,Combinado,0.08194476134091569,3766,134,2021
2023,M,0.0806970243280092,2384,67,2022
2023,W,0.06855532959614319,1516,67,2022
2023,Combinado,0.07462617696207619,3900,134,2022
2024,M,0.07320714359188626,2451,67,2023
2024,W,0.03981275961358335,1583,67,2023
2024,Combinado,0.05650995160273481,4034,134,2023
2025,M,0.05509940539298867,2518,67,2024
2025,W,0.053337805130195697,1650,67,2024
2025,Combinado,0.05421860526159218,4168,134,2024
