number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_n_estimators,user_attrs_scores_anuais,state
0,0.07336556846812578,2026-09-22 17:00:53.182399,2026-09-22 17:00:55.576059,0 days 00:00:02.393660,2.0,0.5,0.9879639408647978,16,250,"{'2021': 0.08466585359234086, '2022': 0.0809479406522779, '2023': 0.07782983189381663, '2024': 0.06125877995757996, '2025': 0.06212543624461354}",COMPLETE
1,0.07289978407755594,2026-09-22 17:00:55.576224,2026-09-22 17:01:00.136332,0 days 00:00:04.560108,8.0,1.0,0.7465447373174767,17,450,"{'2021': 0.08645806571783364, '2022': 0.0834952674318029, '2023': 0.07624381509839888, '2024': 0.06023612826449674, '2025': 0.05806564387524753}",COMPLETE
2,0.07489733773774823,2026-09-22 17:01:00.136442,2026-09-22 17:01:03.050058,0 days 00:00:02.913616,2.0,1.0,0.9233589392465844,2,300,"{'2021': 0.08339784716130447, '2022': 0.08808903345645361, '2023': 0.08462930876844883, '2024': 0.06109557937260204, '2025': 0.057274919929932284}",COMPLETE
3,0.07985015048732878,2026-09-22 17:01:03.050171,2026-09-22 17:01:05.745790,0 days 00:00:02.695619,,0.5,0.8080272084711243,4,250,"{'2021': 0.09385341710989167, '2022': 0.08939263147048018, '2023': 0.08109100352459478, '2024': 0.06196834624479515, '2025': 0.0729453540868822}",COMPLETE
4,0.07247290841279845,2026-09-22 17:01:05.745898,2026-09-22 17:01:09.043589,0 days 00:00:03.297691,3.0,0.5,0.7301321323053057,2,350,"{'2021': 0.08536687010723111, '2022': 0.08097082788557353, '2023': 0.07716628943010728, '2024': 0.05949831665942112, '2025': 0.05936223798165922}",COMPLETE
5,0.07240314377242878,2026-09-22 17:01:09.043756,2026-09-22 17:01:11.895178,0 days 00:00:02.851422,3.0,0.5,0.679486272613669,2,300,"{'2021': 0.08519608622449448, '2022': 0.08094733074556629, '2023': 0.07723915540346046, '2024': 0.05949946166121278, '2025': 0.059133684827409896}",COMPLETE
6,0.07333217586419748,2026-09-22 17:01:11.895283,2026-09-22 17:01:13.406872,0 days 00:00:01.511589,2.0,0.5,0.6254233401144095,47,150,"{'2021': 0.08584756694023225, '2022': 0.08096533843589065, '2023': 0.07645284562846345, '2024': 0.06088396922479386, '2025': 0.06251115909160714}",COMPLETE
7,0.07198830781309522,2026-09-22 17:01:13.406976,2026-09-22 17:01:15.945485,0 days 00:00:02.538509,6.0,1.0,0.7975182385457563,31,250,"{'2021': 0.08484576374237245, '2022': 0.08311369237717363, '2023': 0.07623863786773782, '2024': 0.05884904364554176, '2025': 0.056894401432650454}",COMPLETE
8,0.07226745664408915,2026-09-22 17:01:15.945590,2026-09-22 17:01:19.333194,0 days 00:00:03.387604,8.0,1.0,0.9022204554172195,56,350,"{'2021': 0.08566046936091304, '2022': 0.08381826034162207, '2023': 0.07727045535711381, '2024': 0.058070087134856736, '2025': 0.05651801102594013}",COMPLETE
9,0.07194122787352861,2026-09-22 17:01:19.333303,2026-09-22 17:01:21.358727,0 days 00:00:02.025424,6.0,1.0,0.8157368967662603,37,200,"{'2021': 0.08487040101696047, '2022': 0.0834969338266989, '2023': 0.0765703868064018, '2024': 0.05826386215185622, '2025': 0.05650455556572566}",COMPLETE
