number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_scores_anuais,state
0,0.07401598786454358,2026-09-22 17:02:08.004621,2026-09-22 17:02:08.758488,0 days 00:00:00.753867,0.5,3.540362888980227,0.07259248719561363,5,26.292183092620917,300,1.574189004745663,6.358358856676251,0.6624074561769746,"{'2021': 0.08909027167730124, '2022': 0.08255287186767543, '2023': 0.07917669173884531, '2024': 0.061365186754518485, '2025': 0.057894917284377456}",COMPLETE
1,0.07734752066136805,2026-09-22 17:02:08.758649,2026-09-22 17:02:09.076872,0 days 00:00:00.318223,1.0,1.4561457009902097,0.09528587217040241,5,9.008485225328876,100,0.014077923139972392,1.976218934028007,0.6727299868828402,"{'2021': 0.09524735911582399, '2022': 0.08793911316145848, '2023': 0.08264579476669212, '2024': 0.06248760717735687, '2025': 0.05841772908550884}",COMPLETE
2,0.07173833158838434,2026-09-22 17:02:09.077033,2026-09-22 17:02:09.621960,0 days 00:00:00.544927,0.5,0.23225206359998862,0.022059149678071027,1,13.807454499059872,400,0.012173252504194038,5.9874749104613985,0.7824279936868144,"{'2021': 0.08911311918485891, '2022': 0.0795415129988338, '2023': 0.07475882120004887, '2024': 0.05895227544666699, '2025': 0.05632592911151312}",COMPLETE
3,0.07210196582300445,2026-09-22 17:02:09.622121,2026-09-22 17:02:10.156551,0 days 00:00:00.534430,0.5,2.2007624686980067,0.011926324174062874,1,69.42918079706531,400,3.855073690026178e-05,11.290133559092672,0.9862528132298237,"{'2021': 0.0879016124844743, '2022': 0.07751471254155828, '2023': 0.07500786895829725, '2024': 0.06144748417589153, '2025': 0.05863815095480085}",COMPLETE
4,0.07228384450272111,2026-09-22 17:02:10.156711,2026-09-22 17:02:10.460649,0 days 00:00:00.303938,0.5,0.9242722776276352,0.01097599850212944,3,62.215825966390064,150,0.013194961490425657,4.366473592979633,0.7035119926400067,"{'2021': 0.08446205384387231, '2022': 0.07531614861247089, '2023': 0.0743399913949087, '2024': 0.06350809251084019, '2025': 0.06379293615151348}",COMPLETE
5,0.07581753415276402,2026-09-22 17:02:10.460927,2026-09-22 17:02:11.610243,0 days 00:00:01.149316,0.5,1.6266516538163218,0.12733168701231962,4,59.7653542432393,600,0.0001499329805509155,0.13667272915456222,0.8391599915244341,"{'2021': 0.09157956441251777, '2022': 0.08386002386786251, '2023': 0.07940629739943761, '2024': 0.06341363338498376, '2025': 0.0608281516990184}",COMPLETE
6,0.07155080739720347,2026-09-22 17:02:11.610411,2026-09-22 17:02:12.088690,0 days 00:00:00.478279,0.5,4.9344346830025865,0.09433458442225107,2,13.444473946774096,300,0.6504020246676567,0.16736010167825777,0.7123738038749523,"{'2021': 0.08534764775285326, '2022': 0.08189400179445266, '2023': 0.07696676971347464, '2024': 0.05849489717504922, '2025': 0.05505072055018758}",COMPLETE
7,0.06987346698973838,2026-09-22 17:02:12.088855,2026-09-22 17:02:12.738845,0 days 00:00:00.649990,1.0,0.5793452976256486,0.010150665434429315,1,47.96046723963645,500,2.781428564375753e-05,1.1895896737553546,0.8827429375390468,"{'2021': 0.08200450506520043, '2022': 0.08151635849590176, '2023': 0.07501760088664186, '2024': 0.05647622718040547, '2025': 0.05435264332054239}",COMPLETE
8,0.07347002355899959,2026-09-22 17:02:12.739015,2026-09-22 17:02:13.861665,0 days 00:00:01.122650,1.0,2.3610746258097466,0.02450001073565503,4,5.963509068133073,550,0.06688747907702054,45.88156549160973,0.7243929286862649,"{'2021': 0.08778613203394028, '2022': 0.08502430458710764, '2023': 0.07829064151268389, '2024': 0.06022994568566421, '2025': 0.056019093975601945}",COMPLETE
9,0.07449173037895847,2026-09-22 17:02:13.861838,2026-09-22 17:02:14.218404,0 days 00:00:00.356566,1.0,0.5394571349665223,0.07847885275945195,4,23.703642788018918,150,0.0036749049453053224,0.11919481947918735,0.9083868719818244,"{'2021': 0.0881289814785152, '2022': 0.0859441817821837, '2023': 0.08052274157420358, '2024': 0.06039668416562918, '2025': 0.05746606289426071}",COMPLETE
10,0.07212460742639086,2026-09-22 17:02:14.218688,2026-09-22 17:02:14.995863,0 days 00:00:00.777175,1.0,3.6812781629959406,0.04066857741116596,2,32.15572147084412,500,0.00035282692168192234,0.7365085260779861,0.6139254447018958,"{'2021': 0.08658159537231636, '2022': 0.08341059764533633, '2023': 0.07820156173678519, '2024': 0.05796291619922976, '2025': 0.05446636617828671}",COMPLETE
11,0.07220919253259286,2026-09-22 17:02:14.996029,2026-09-22 17:02:15.480000,0 days 00:00:00.483971,1.0,4.9773339520080855,0.04538120817461898,2,13.919409552284726,300,4.105549157477409,0.3929532582416124,0.861930176313802,"{'2021': 0.08728386664760104, '2022': 0.08323912990655324, '2023': 0.07759691177527599, '2024': 0.05879067388840001, '2025': 0.05413538044513406}",COMPLETE
12,0.07186794387953577,2026-09-22 17:02:15.480169,2026-09-22 17:02:15.948561,0 days 00:00:00.468392,0.5,4.945047832132365,0.018192288258605496,2,33.82632401136471,300,0.4280988629011391,0.7317811909184075,0.9966490291427956,"{'2021': 0.08932266588496975, '2022': 0.07880181337054655, '2023': 0.07495445280494988, '2024': 0.060556158395945976, '2025': 0.05570462894126674}",COMPLETE
13,0.07070200540720799,2026-09-22 17:02:15.948726,2026-09-22 17:02:16.555497,0 days 00:00:00.606771,1.0,3.6236484692085824,0.040332226977607,1,5.27285016094837,450,0.0009626712633619116,0.31419324416918254,0.7759583641717658,"{'2021': 0.08503160826901505, '2022': 0.08267153589595673, '2023': 0.07584206452195526, '2024': 0.05671215532330713, '2025': 0.053252663025805766}",COMPLETE
14,0.07052372137513777,2026-09-22 17:02:16.555661,2026-09-22 17:02:17.175694,0 days 00:00:00.620033,1.0,3.5246354130075526,0.040790420407123225,1,5.058317421520528,450,1.4181497439202397e-05,1.522270057596064,0.8023784239985169,"{'2021': 0.08491987154191258, '2022': 0.08318864728789692, '2023': 0.07520519029490377, '2024': 0.0560744059140779, '2025': 0.053230491836897625}",COMPLETE
